Time [min];Reflectance_590;PulseNumber
2;10159;1
4;10156;2
6;10017;3
8;9767;4
10;9372;5
12;8808;6
14;8212;7
16;7528;8
18;7165;9
20;7197;10
22;7460;11
24;7808;12
26;8166;13
28;8529;14
30;8894;15
32;9076;16
34;9078;17
36;8918;18
38;8610;19
40;8142;20
42;7590;21
44;6965;22
46;6631;23
48;6646;24
50;6888;25
52;7256;26
54;7637;27
56;8018;28
58;8408;29
60;8644;30
62;8670;31
64;8554;32
66;8298;33
68;7848;34
70;7331;35
72;6763;36
74;6404;37
76;6403;38
78;6661;39
80;7014;40
82;7409;41
84;7800;42
86;8192;43
88;8441;44
90;8498;45
92;8422;46
94;8166;47
96;7745;48
98;7240;49
100;6658;50
102;6270;51
104;6285;52
106;6515;53
108;6866;54
110;7259;55
112;7662;56
114;8055;57
116;8331;58
118;8413;59
120;8328;60
122;8109;61
124;7704;62
126;7205;63
128;6652;64
130;6252;65
132;6246;66
134;6462;67
136;6821;68
138;7213;69
140;7505;70
142;7716;71
144;7885;72
146;8012;73
148;8148;74
150;8250;75
152;8338;76
154;8423;77
156;8470;78
158;8168;79
160;7830;80
162;7586;81
164;7428;82
166;7432;83
168;7622;84
170;7795;85
172;7786;86
174;7665;87
176;7353;88
178;6844;89
180;6208;90
182;5478;91
184;4910;92
186;4946;93
188;5161;94
190;5544;95
192;5986;96
194;6471;97
196;6971;98
198;7406;99
200;7596;100
202;7594;101
204;7393;102
206;6973;103
208;6372;104
210;5690;105
212;5100;106
214;5141;107
216;5355;108
218;5775;109
220;6255;110
222;6746;111
224;7259;112
226;7746;113
228;7932;114
230;7918;115
232;7736;116
234;7322;117
236;6705;118
238;6031;119
240;5390;120
242;5400;121
244;5610;122
246;6017;123
248;6486;124
250;6978;125
252;7513;126
254;7962;127
256;8150;128
258;8144;129
260;7957;130
262;7553;131
264;6932;132
266;6256;133
268;5556;134
270;5535;135
272;5730;136
274;6133;137
276;6618;138
278;7102;139
280;7609;140
282;8080;141
284;8273;142
286;8290;143
288;8097;144
290;7707;145
292;7080;146
294;6388;147
296;5667;148
298;5626;149
300;5788;150
302;6212;151
304;6670;152
306;7152;153
308;7652;154
310;8138;155
312;8360;156
314;8392;157
316;8464;158
318;8537;159
320;8636;160
322;8690;161
324;8770;162
326;8833;163
328;8897;164
330;8949;165
