Time [min],Reflectance_590,PulseNumber
3.72000,2102.00000,186.0
3.74000,2106.00000,187.0
3.76000,2108.00000,188.0
3.78000,2108.00000,189.0
3.80000,2106.00000,190.0
3.82000,2108.00000,191.0
3.84000,2104.00000,192.0
3.86000,2110.00000,193.0
3.88000,2106.00000,194.0
3.90000,2108.00000,195.0
3.92000,2109.00000,196.0
3.94000,2108.00000,197.0
3.96000,2109.00000,198.0
3.98000,2104.00000,199.0
4.00000,2108.00000,200.0
4.02000,2110.00000,201.0
4.04000,2112.00000,202.0
4.06000,2112.00000,203.0
4.08000,2110.00000,204.0
4.10000,2114.00000,205.0
4.12000,2113.00000,206.0
4.14000,2112.00000,207.0
4.16000,2118.00000,208.0
4.18000,2117.00000,209.0
4.20000,2118.00000,210.0
4.22000,2121.00000,211.0
4.24000,2121.00000,212.0
4.26000,2121.00000,213.0
4.28000,2123.00000,214.0
4.30000,2120.00000,215.0
4.32000,2125.00000,216.0
4.34000,2120.00000,217.0
4.36000,2122.00000,218.0
4.38000,2128.00000,219.0
4.40000,2126.00000,220.0
4.42000,2126.00000,221.0
4.44000,2127.00000,222.0
4.46000,2129.00000,223.0
4.48000,2130.00000,224.0
4.50000,2128.00000,225.0
4.52000,2133.00000,226.0
4.54000,2132.00000,227.0
4.56000,2135.00000,228.0
4.58000,2136.00000,229.0
4.60000,2138.00000,230.0
4.62000,2134.00000,231.0
4.64000,2136.00000,232.0
4.66000,2140.00000,233.0
4.68000,2140.00000,234.0
4.70000,2141.00000,235.0
4.72000,2141.00000,236.0
4.74000,2144.00000,237.0
4.76000,2145.00000,238.0
4.78000,2145.00000,239.0
4.80000,2146.00000,240.0
4.82000,2146.00000,241.0
4.84000,2144.00000,242.0
4.86000,2149.00000,243.0
4.88000,2150.00000,244.0
4.90000,2150.00000,245.0
4.92000,2151.00000,246.0
4.94000,2150.00000,247.0
4.96000,2152.00000,248.0
4.98000,2152.00000,249.0
5.00000,2153.00000,250.0
5.02000,2152.00000,251.0
5.04000,2158.00000,252.0
5.06000,2159.00000,253.0
5.08000,2158.00000,254.0
5.10000,2159.00000,255.0
5.12000,2161.00000,256.0
5.14000,2165.00000,257.0
5.16000,2160.00000,258.0
5.18000,2158.00000,259.0
5.20000,2162.00000,260.0
5.22000,2164.00000,261.0
5.24000,2164.00000,262.0
5.26000,2164.00000,263.0
5.28000,2167.00000,264.0
5.30000,2165.00000,265.0
5.32000,2169.00000,266.0
5.34000,2166.00000,267.0
5.36000,2164.00000,268.0
5.38000,2170.00000,269.0
5.40000,2172.00000,270.0
5.42000,2170.00000,271.0
5.44000,2172.00000,272.0
5.46000,2172.00000,273.0
5.48000,2175.00000,274.0
5.50000,2177.00000,275.0
5.52000,2176.00000,276.0
5.54000,2171.00000,277.0
5.56000,2177.00000,278.0
5.58000,2166.00000,279.0
5.60000,2173.00000,280.0
5.62000,2179.00000,281.0
5.64000,2176.00000,282.0
5.66000,2182.00000,283.0
5.68000,2178.00000,284.0
5.70000,2169.00000,285.0
5.72000,2182.00000,286.0
5.74000,2180.00000,287.0
5.76000,2182.00000,288.0
5.78000,2185.00000,289.0
5.80000,2182.00000,290.0
5.82000,2186.00000,291.0
5.84000,2183.00000,292.0
5.86000,2185.00000,293.0
5.88000,2182.00000,294.0
5.90000,2184.00000,295.0
5.92000,2185.00000,296.0
5.94000,2190.00000,297.0
5.96000,2188.00000,298.0
5.98000,2186.00000,299.0
6.00000,2191.00000,300.0
6.02000,2178.00000,301.0
6.04000,2190.00000,302.0
6.06000,2192.00000,303.0
6.08000,2194.00000,304.0
6.10000,2192.00000,305.0
6.12000,2197.00000,306.0
6.14000,2198.00000,307.0
6.16000,2198.00000,308.0
6.18000,2194.00000,309.0
6.20000,2196.00000,310.0
6.22000,2198.00000,311.0
6.24000,2199.00000,312.0
6.26000,2201.00000,313.0
6.28000,2199.00000,314.0
6.30000,2200.00000,315.0
6.32000,2202.00000,316.0
6.34000,2201.00000,317.0
6.36000,2200.00000,318.0
6.38000,2204.00000,319.0
6.40000,2206.00000,320.0
6.42000,2206.00000,321.0
6.44000,2209.00000,322.0
6.46000,2208.00000,323.0
6.48000,2204.00000,324.0
6.50000,2206.00000,325.0
6.52000,2210.00000,326.0
6.54000,2210.00000,327.0
6.56000,2211.00000,328.0
6.58000,2210.00000,329.0
6.60000,2214.00000,330.0
6.62000,2207.00000,331.0
6.64000,2212.00000,332.0
6.66000,2210.00000,333.0
6.68000,2212.00000,334.0
6.70000,2210.00000,335.0
6.72000,2211.00000,336.0
6.74000,2215.00000,337.0
6.76000,2217.00000,338.0
6.78000,2215.00000,339.0
6.80000,2218.00000,340.0
6.82000,2220.00000,341.0
6.84000,2217.00000,342.0
6.86000,2218.00000,343.0
6.88000,2219.00000,344.0
6.90000,2218.00000,345.0
6.92000,2219.00000,346.0
6.94000,2216.00000,347.0
6.96000,2221.00000,348.0
6.98000,2217.00000,349.0
7.00000,2218.00000,350.0
7.02000,2221.00000,351.0
7.04000,2222.00000,352.0
7.06000,2221.00000,353.0
7.08000,2218.00000,354.0
7.10000,2224.00000,355.0
7.12000,2223.00000,356.0
7.14000,2224.00000,357.0
7.16000,2228.00000,358.0
7.18000,2230.00000,359.0
7.20000,2226.00000,360.0
7.22000,2222.00000,361.0
7.24000,2227.00000,362.0
7.26000,2225.00000,363.0
7.28000,2225.00000,364.0
7.30000,2232.00000,365.0
7.32000,2225.00000,366.0
7.34000,2225.00000,367.0
7.36000,2228.00000,368.0
7.38000,2228.00000,369.0
7.40000,2224.00000,370.0
7.42000,2229.00000,371.0
7.44000,2226.00000,372.0
7.46000,2238.00000,373.0
7.48000,2228.00000,374.0
7.50000,2230.00000,375.0
7.52000,2233.00000,376.0
7.54000,2224.00000,377.0
7.56000,2231.00000,378.0
7.58000,2230.00000,379.0
7.60000,2238.00000,380.0
7.62000,2232.00000,381.0
7.64000,2233.00000,382.0
7.66000,2236.00000,383.0
7.68000,2235.00000,384.0
7.70000,2236.00000,385.0
7.72000,2238.00000,386.0
7.74000,2230.00000,387.0
7.76000,2238.00000,388.0
7.78000,2238.00000,389.0
7.80000,2235.00000,390.0
7.82000,2238.00000,391.0
7.84000,2237.00000,392.0
7.86000,2239.00000,393.0
7.88000,2240.00000,394.0
7.90000,2241.00000,395.0
7.92000,2236.00000,396.0
7.94000,2238.00000,397.0
7.96000,2240.00000,398.0
7.98000,2239.00000,399.0
8.00000,2238.00000,400.0
8.02000,2243.00000,401.0
8.04000,2240.00000,402.0
8.06000,2242.00000,403.0
8.08000,2243.00000,404.0
8.10000,2238.00000,405.0
8.12000,2244.00000,406.0
8.14000,2239.00000,407.0
8.16000,2244.00000,408.0
8.18000,2244.00000,409.0
8.20000,2242.00000,410.0
8.22000,2231.00000,411.0
8.24000,2240.00000,412.0
8.26000,2242.00000,413.0
8.28000,2240.00000,414.0
8.30000,2242.00000,415.0
8.32000,2238.00000,416.0
8.34000,2239.00000,417.0
8.36000,2236.00000,418.0
8.38000,2239.00000,419.0
8.40000,2240.00000,420.0
8.42000,2241.00000,421.0
8.44000,2239.00000,422.0
8.46000,2241.00000,423.0
8.48000,2242.00000,424.0
8.50000,2239.00000,425.0
8.52000,2240.00000,426.0
8.54000,2242.00000,427.0
8.56000,2240.00000,428.0
8.58000,2241.00000,429.0
8.60000,2239.00000,430.0
8.62000,2244.00000,431.0
8.64000,2238.00000,432.0
8.66000,2247.00000,433.0
8.68000,2242.00000,434.0
8.70000,2242.00000,435.0
8.72000,2242.00000,436.0
8.74000,2237.00000,437.0
8.76000,2244.00000,438.0
8.78000,2245.00000,439.0
8.80000,2240.00000,440.0
8.82000,2243.00000,441.0
8.84000,2242.00000,442.0
8.86000,2243.00000,443.0
8.88000,2237.00000,444.0
8.90000,2241.00000,445.0
8.92000,2243.00000,446.0
8.94000,2241.00000,447.0
8.96000,2243.00000,448.0
8.98000,2240.00000,449.0
9.00000,2245.00000,450.0
9.02000,2243.00000,451.0
9.04000,2241.00000,452.0
9.06000,2244.00000,453.0
9.08000,2244.00000,454.0
9.10000,2243.00000,455.0
9.12000,2241.00000,456.0
9.14000,2240.00000,457.0
9.16000,2245.00000,458.0
9.18000,2239.00000,459.0
9.20000,2242.00000,460.0
9.22000,2244.00000,461.0
9.24000,2244.00000,462.0
9.26000,2243.00000,463.0
9.28000,2239.00000,464.0
9.30000,2240.00000,465.0
9.32000,2244.00000,466.0
9.34000,2240.00000,467.0
9.36000,2245.00000,468.0
9.38000,2244.00000,469.0
9.40000,2233.00000,470.0
9.42000,2247.00000,471.0
9.44000,2246.00000,472.0
9.46000,2244.00000,473.0
9.48000,2242.00000,474.0
9.50000,2245.00000,475.0
9.52000,2234.00000,476.0
9.54000,2246.00000,477.0
9.56000,2244.00000,478.0
9.58000,2240.00000,479.0
9.60000,2244.00000,480.0
9.62000,2244.00000,481.0
9.64000,2243.00000,482.0
9.66000,2248.00000,483.0
9.68000,2242.00000,484.0
9.70000,2242.00000,485.0
9.72000,2244.00000,486.0
9.74000,2243.00000,487.0
9.76000,2248.00000,488.0
9.78000,2243.00000,489.0
9.80000,2244.00000,490.0
9.82000,2244.00000,491.0
9.84000,2245.00000,492.0
9.86000,2246.00000,493.0
9.88000,2248.00000,494.0
9.90000,2246.00000,495.0
9.92000,2248.00000,496.0
9.94000,2249.00000,497.0
9.96000,2245.00000,498.0
9.98000,2250.00000,499.0
10.00000,2248.00000,500.0
10.02000,2250.00000,501.0
10.04000,2250.00000,502.0
10.06000,2250.00000,503.0
10.08000,2247.00000,504.0
10.10000,2246.00000,505.0
10.12000,2250.00000,506.0
10.14000,2250.00000,507.0
10.16000,2250.00000,508.0
10.18000,2253.00000,509.0
10.20000,2251.00000,510.0
10.22000,2255.00000,511.0
10.24000,2254.00000,512.0
10.26000,2254.00000,513.0
10.28000,2256.00000,514.0
10.30000,2251.00000,515.0
10.32000,2254.00000,516.0
10.34000,2257.00000,517.0
10.36000,2254.00000,518.0
10.38000,2257.00000,519.0
10.40000,2257.00000,520.0
10.42000,2253.00000,521.0
10.44000,2256.00000,522.0
10.46000,2254.00000,523.0
10.48000,2256.00000,524.0
10.50000,2258.00000,525.0
10.52000,2258.00000,526.0
10.54000,2256.00000,527.0
10.56000,2260.00000,528.0
10.58000,2261.00000,529.0
10.60000,2258.00000,530.0
10.62000,2259.00000,531.0
10.64000,2257.00000,532.0
10.66000,2258.00000,533.0
10.68000,2258.00000,534.0
10.70000,2261.00000,535.0
10.72000,2261.00000,536.0
10.74000,2259.00000,537.0
10.76000,2263.00000,538.0
10.78000,2261.00000,539.0
10.80000,2261.00000,540.0
10.82000,2260.00000,541.0
10.84000,2260.00000,542.0
10.86000,2260.00000,543.0
10.88000,2264.00000,544.0
10.90000,2264.00000,545.0
10.92000,2264.00000,546.0
10.94000,2262.00000,547.0
10.96000,2260.00000,548.0
10.98000,2264.00000,549.0
11.00000,2262.00000,550.0
11.02000,2266.00000,551.0
11.04000,2265.00000,552.0
11.06000,2264.00000,553.0
11.08000,2267.00000,554.0
11.10000,2265.00000,555.0
11.12000,2263.00000,556.0
11.14000,2264.00000,557.0
11.16000,2269.00000,558.0
11.18000,2266.00000,559.0
11.20000,2269.00000,560.0
11.22000,2268.00000,561.0
11.24000,2264.00000,562.0
11.26000,2264.00000,563.0
11.28000,2267.00000,564.0
11.30000,2264.00000,565.0
11.32000,2272.00000,566.0
11.34000,2269.00000,567.0
11.36000,2264.00000,568.0
11.38000,2269.00000,569.0
11.40000,2269.00000,570.0
11.42000,2269.00000,571.0
11.44000,2266.00000,572.0
11.46000,2270.00000,573.0
11.48000,2270.00000,574.0
11.50000,2274.00000,575.0
11.52000,2268.00000,576.0
11.54000,2270.00000,577.0
11.56000,2272.00000,578.0
11.58000,2270.00000,579.0
11.60000,2269.00000,580.0
11.62000,2268.00000,581.0
11.64000,2274.00000,582.0
11.66000,2275.00000,583.0
11.68000,2272.00000,584.0
11.70000,2263.00000,585.0
11.72000,2271.00000,586.0
11.74000,2271.00000,587.0
11.76000,2271.00000,588.0
11.78000,2269.00000,589.0
11.80000,2271.00000,590.0
11.82000,2272.00000,591.0
11.84000,2272.00000,592.0
11.86000,2274.00000,593.0
11.88000,2270.00000,594.0
11.90000,2274.00000,595.0
11.92000,2270.00000,596.0
11.94000,2274.00000,597.0
11.96000,2269.00000,598.0
11.98000,2275.00000,599.0
12.00000,2271.00000,600.0
12.02000,2272.00000,601.0
12.04000,2269.00000,602.0
12.06000,2270.00000,603.0
12.08000,2274.00000,604.0
12.10000,2270.00000,605.0
12.12000,2270.00000,606.0
12.14000,2268.00000,607.0
12.16000,2270.00000,608.0
12.18000,2272.00000,609.0
12.20000,2270.00000,610.0
12.22000,2270.00000,611.0
12.24000,2271.00000,612.0
12.26000,2261.00000,613.0
12.28000,2269.00000,614.0
12.30000,2266.00000,615.0
12.32000,2270.00000,616.0
12.34000,2266.00000,617.0
12.36000,2271.00000,618.0
12.38000,2269.00000,619.0
