Time [min];Reflectance_590;PulseNumber
2;9036;1
4;9174;2
6;9194;3
8;9082;4
10;8904;5
12;8552;6
14;7996;7
16;7730;8
18;7758;9
20;7961;10
22;8220;11
24;8510;12
26;8809;13
28;9104;14
30;9232;15
32;9266;16
34;9168;17
36;8954;18
38;8618;19
40;8218;20
42;7750;21
44;7526;22
46;7593;23
48;7804;24
50;8104;25
52;8420;26
54;8676;27
56;8981;28
58;9133;29
60;9144;30
62;9062;31
64;8856;32
66;8502;33
68;8096;34
70;7629;35
72;7360;36
74;7414;37
76;7640;38
78;7935;39
80;8226;40
82;8530;41
84;8851;42
86;9020;43
88;9058;44
90;8977;45
92;8786;46
94;8455;47
96;8079;48
98;7633;49
100;7352;50
102;7424;51
104;7642;52
106;7913;53
108;8242;54
110;8536;55
112;8842;56
114;9023;57
116;9070;58
118;9017;59
120;8871;60
122;8552;61
124;8158;62
126;7696;63
128;7397;64
130;7432;65
132;7647;66
134;7942;67
136;8250;68
138;8476;69
140;8636;70
142;8735;71
144;8854;72
146;8952;73
148;8980;74
150;8947;75
152;8972;76
154;8980;77
156;9022;78
158;9056;79
160;9102;80
162;9129;81
164;9150;82
166;9179;83
168;9194;84
170;9239;85
172;9252;86
